SeqNo,Date,UTC Time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9
1,04/16/2012,00:00:00.000,0.0,1000000000.0,-43598628.63,-1000000000.0,0.0,548813503.93,864436198.86,-606835276.64,3000000000.0,3258920895.79
2,04/17/2012,00:48:00.000,214970440.21,976620555.71,25427939.29,1000000000.0,419889101.56,715189366.37,-742165020.41,-262549658.68,1000000000.0,263577114.08
3,04/18/2012,01:36:00.000,419889101.56,907575419.67,93259199.4,1000000000.0,762162055.13,602763376.07,2269754623.99,641986459.7,7000000000.0,2982200688.12
4,04/19/2012,02:24:00.000,605174215.19,796093065.71,127708400.2,1000000000.0,963549992.52,544883183.0,-1454365674.6,-805797448.41,7000000000.0,2836640189.0
5,04/20/2012,03:12:00.000,762162055.13,647386284.78,106380495.32,1000000000.0,986826522.54,423654799.34,45758517.3,675889815.0,10000000000.0,1605458776.47
6,04/21/2012,04:00:00.000,883512044.45,468408440.7,28159216.93,1000000000.0,827688998.16,645894113.07,-187183850.03,-807803184.21,5000000000.0,995463646.94
7,04/22/2012,04:48:00.000,963549992.52,267528338.53,-82493786.95,1000000000.0,515553857.18,437587211.26,1532779214.36,952918930.03,8000000000.0,2073761437.06
8,04/23/2012,05:36:00.000,998533413.85,54138908.59,-180985578.73,1000000000.0,108119018.42,891773000.78,1469358769.9,-62697596.7,8000000000.0,346753304.46
9,04/24/2012,06:24:00.000,986826522.54,-161781996.55,-216709750.96,1000000000.0,-319301530.14,963662760.5,154947425.7,953522176.38,6000000000.0,1890101706.14
10,04/25/2012,07:12:00.000,928976719.82,-370138155.34,-151278725.57,1000000000.0,-687699458.85,383441518.83,378162519.6,209691039.49,4000000000.0,962011926.44
11,04/26/2012,08:00:00.000,827688998.16,-561187065.36,25638762.51,1000000000.0,-928976719.82,791725038.08,-887785747.63,478527158.8,4000000000.0,13325245.81
12,04/27/2012,08:48:00.000,687699458.85,-725995491.92,288960247.4,1000000000.0,-998533413.85,528894919.75,-1980796468.22,-921624415.49,3000000000.0,426535821.52
13,04/28/2012,09:36:00.000,515553857.18,-856857176.17,582638402.46,1000000000.0,-883512044.45,568044561.09,-347912149.33,-434386074.85,1000000000.0,160334095.57
14,04/29/2012,10:24:00.000,319301530.14,-947653171.18,835095960.01,1000000000.0,-605174215.19,925596638.29,156348969.1,-759606877.57,5000000000.0,4007949815.31
15,04/30/2012,11:12:00.000,108119018.42,-994137957.15,980807268.67,1000000000.0,-214970440.21,71036058.2,1230290680.73,-407719604.96,6000000000.0,650797343.3
16,05/01/2012,12:00:00.000,-108119018.42,-994137957.15,980807268.67,-1000000000.0,214970440.21,87129299.7,1202379848.78,-762544562.09,5000000000.0,687943474.35
17,05/02/2012,12:48:00.000,-319301530.14,-947653171.18,835095960.01,-1000000000.0,605174215.19,20218397.44,-387326817.41,-364033641.21,5000000000.0,1020187087.71
18,05/03/2012,13:36:00.000,-515553857.18,-856857176.17,582638402.46,-1000000000.0,883512044.45,832619845.55,-302302750.58,-171474010.97,4000000000.0,459791322.62
19,05/04/2012,14:24:00.000,-687699458.85,-725995491.92,288960247.4,-1000000000.0,998533413.85,778156750.95,-1048552965.07,-871705007.3,1000000000.0,147225034.54
20,05/05/2012,15:12:00.000,-827688998.16,-561187065.36,25638762.51,-1000000000.0,928976719.82,870012148.25,-1420017937.18,384944238.74,7000000000.0,1726633369.97
21,05/06/2012,16:00:00.000,-928976719.82,-370138155.34,-151278725.57,-1000000000.0,687699458.85,978618342.23,-1706270190.63,133202908.41,2000000000.0,210533285.86
22,05/07/2012,16:48:00.000,-986826522.54,-161781996.55,-216709750.96,-1000000000.0,319301530.14,799158564.22,1950775395.23,-469221018.12,7000000000.0,716045318.4
23,05/08/2012,17:36:00.000,-998533413.85,54138908.59,-180985578.73,-1000000000.0,-108119018.42,461479362.25,-509652181.75,46496106.93,6000000000.0,254011384.77
24,05/09/2012,18:24:00.000,-963549992.52,267528338.53,-82493786.95,-1000000000.0,-515553857.18,780529176.29,-438074301.61,-812118978.48,2000000000.0,102968361.91
25,05/10/2012,19:12:00.000,-883512044.45,468408440.7,28159216.93,-1000000000.0,-827688998.16,118274425.87,-1252795360.05,151892991.11,6000000000.0,1981890365.13
26,05/11/2012,20:00:00.000,-762162055.13,647386284.78,106380495.32,-1000000000.0,-986826522.54,639921021.33,777490355.83,858592395.15,5000000000.0,3608940961.96
27,05/12/2012,20:48:00.000,-605174215.19,796093065.71,127708400.2,-1000000000.0,-963549992.52,143353287.41,-1613897847.56,-362862095.1,7000000000.0,3239963057.52
28,05/13/2012,21:36:00.000,-419889101.56,907575419.67,93259199.4,-1000000000.0,-762162055.13,944668917.05,-212740280.21,334820759.93,5000000000.0,2370387593.48
29,05/14/2012,22:24:00.000,-214970440.21,976620555.71,25427939.29,-1000000000.0,-419889101.56,521848321.75,-895466561.19,-736404275.19,4000000000.0,1487429738.36
30,05/15/2012,23:12:00.000,-0.0,1000000000.0,-43598628.63,-1000000000.0,-0.0,414661939.99,386902497.86,432654408.24,5000000000.0,405182875.98
//END;;;;;;;;;;;;
