SeqNo,Date,UTC Time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9
          1,03/31/2012,04:28:09.897,   2.165000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          2,03/31/2012,04:28:12.608,   2.169000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          3,03/31/2012,04:28:12.754,   2.246000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          4,03/31/2012,04:28:12.904,   2.325000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          5,03/31/2012,04:28:13.056,   2.403000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          6,03/31/2012,04:28:13.205,   2.477000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          7,03/31/2012,04:28:13.356,   2.548000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          8,03/31/2012,04:28:13.509,   2.633000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
          9,03/31/2012,04:28:13.654,   2.708000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         10,03/31/2012,04:28:13.807,   2.796000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         11,03/31/2012,04:28:13.964,   2.879000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         12,03/31/2012,04:28:14.116,   2.965000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         13,03/31/2012,04:28:14.286,   3.050000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         14,03/31/2012,04:28:14.429,   3.116000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         15,03/31/2012,04:28:14.594,   3.208000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         16,03/31/2012,04:28:14.816,   3.330000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         17,03/31/2012,04:28:14.967,   3.396000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         18,03/31/2012,04:28:15.128,   3.486000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   4.000000E+5,   0.000000E+0
         19,03/31/2012,04:28:18.394,   3.562000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         20,03/31/2012,04:28:18.532,   3.618000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         21,03/31/2012,04:28:18.697,   3.713000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         22,03/31/2012,04:28:18.871,   3.816000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         23,03/31/2012,04:28:19.013,   3.893000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         24,03/31/2012,04:28:19.176,   3.983000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         25,03/31/2012,04:28:19.339,   4.080000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         26,03/31/2012,04:28:21.888,   4.165000E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         27,04/20/2012,20:48:25.494,   1.200000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         28,04/20/2012,20:48:30.973,   1.600000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         29,04/20/2012,20:48:32.418,   1.110000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
         30,04/20/2012,20:48:32.685,   2.120000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0
//END
